순위,제어번호,인용횟수,대표제목,대표저자,대표출판연도,저자_분류
1,nlk:KAC199630983,1294,이데올로기라는 숭고한 대상,"Žižek, Slavoj",2002.0,foreign_english
2,nlk:KAC199609116,1167,감시와 처벌,"Foucault, Michel",2014.0,foreign_english
3,nlk:KAC199609326,1141,정신분석학의 근본 개념,"Freud, Sigmund",1997.0,foreign_english
4,nlk:KAC199606860,1032,차이와 반복,"Deleuze, Gilles",2004.0,foreign_english
5,nlk:KAC199602170,951,발터 벤야민의 문예이론,"Benjamin, Walter ",2008.0,foreign_english
6,nlk:KAC200400171,698,호모 사케르,"Agamben, Giorgio",2008.0,foreign_english
7,nlk:KAC200800968,631,정치적인 것의 가장자리에서,"Rancière, Jacques",2008.0,foreign_english
8,nlk:KAC199604081,614,젠더 트러블,"Butler, Judith",2008.0,foreign_english
9,nlk:KAC200203105,543,일본근대문학의 기원,가라타니 고진,1997.0,foreign_korean
10,nlk:KAC200800551,543,욕망이론,"Lacan, Jacques",2008.0,foreign_english
11,nlk:KAC199606951,530,환대에 대하여,"Derrida, Jacques",2004.0,foreign_english
12,nlk:KAC199601295,452,공간의 시학,"Bachelard, Gaston",2003.0,foreign_english
13,nlk:KAC199617179,398,소설의 이론,"Lukács, Georg",1985.0,foreign_english
14,nlk:KAC199611974,385,존재와 시간,"Heidegger, Martin",1998.0,foreign_english
15,nlk:KAC199701211,348,윤리학,"Badiou, Alain",2001.0,foreign_english
16,nlk:KAC199615498,325,공포의 권력,"Kristeva, Julia",2001.0,foreign_english
17,nlk:KAC199613727,309,정치적 무의식,"Jameson, Fredric",2015.0,foreign_english
18,nlk:KAC199620438,302,혐오와 수치심,"Nussbaum, Martha Craven",2015.0,foreign_english
19,nlk:KAC201883493,297,영화와 소설의 서사구조,"Chatman, Seymour Benjamin",1990.0,foreign_english
20,nlk:KAC199601746,291,텍스트의 즐거움,"Barthes, Roland",1997.0,foreign_english
21,nlk:KAC199620237,288,차라투스트라는 이렇게 말했다,"Nietzsche, Friedrich",2002.0,foreign_english
22,nlk:KAC200001177,288,예술의 규칙,"Bourdieu, Pierre",1999.0,foreign_english
23,nlk:KAC199600908,286,인간의 조건,한나 아렌트,1996.0,foreign_korean
24,nlk:KAC199607728,275,문학이론입문,"Eagleton, Terry",1986.0,foreign_english
25,nlk:KAC199617910,271,공산당 선언,"Marx, Karl",1989.0,foreign_english
26,nlk:KAC200606668,271,텍스트에서 행동으로,"Ricoeur, Paul",2006.0,foreign_english
27,nlk:KAC199632647,258,시학,아리스토텔레스,2002.0,foreign_korean
28,nlk:KAC199610152,248,낭만적 거짓과 소설적 진실,"Girard, René",2001.0,foreign_english
29,nlk:KAC200204409,246,액체근대,"Bauman, Zygmunt",2008.0,foreign_english
30,nlk:KAC201418412,242,세상의 이치,"Moretti, Franco",2005.0,foreign_english
31,nlk:KAC200208216,239,상상의 공동체,"Anderson, Benedict R. O'G.",2002.0,foreign_english
32,nlk:KAC200302296,239,문화의 위치,"Bhabha, Homi K.",2002,foreign_english
33,nlk:KAC199608008,237,성과 속,"Eliade, Mircea",1998.0,foreign_english
34,nlk:KAC200306265,232,시간과 타자,"Levinas, Emmanuel",1996.0,foreign_english
35,nlk:KAC199614392,229,판단력 비판,"Kant, Immanuel",2009.0,foreign_english
36,nlk:KAC199603555,223,육체와 예술,"Brooks, Peter",2011.0,foreign_english
37,nlk:KAC199616270,216,공간의 생산,"Lefèbvre, Henri",2011.0,foreign_english
38,nlk:KAC200306940,216,다른 세상에서,"Spivak, Gayatri Chakravorty",2013.0,foreign_english
39,nlk:KAC199625960,199,은유로서의 질병,"Sontag, Susan",2002.0,foreign_english
40,nlk:KAC199610027,191,현대성과 자아정체성,"Giddens, Anthony",1996.0,foreign_english
41,nlk:KAC199624126,186,문학이란 무엇인가,"Sartre, Jean Paul",1998.0,foreign_english
42,nlk:KAC199600199,183,미학이론,"Adorno, Theodor W.",2001.0,foreign_english
43,nlk:KAC199615786,181,삶으로서의 은유,"Lakoff, George",1996.0,foreign_english
44,nlk:KAC199618620,178,지각의 현상학,"Merleau-Ponty, Maurice",2002.0,foreign_english
45,nlk:KAC199608461,175,"검은 피부, 하얀 가면","Fanon, Frantz",1998.0,foreign_english
46,nlk:KAC199625347,168,짐멜의 모더니티 읽기,"Simmel, Georg",2005.0,foreign_english
47,nlk:KAC199601841,168,시뮬라시옹,"Baudrillard, Jean",2001.0,foreign_english
48,nlk:KAC199631600,158,내셔널리즘과 젠더,우에노 치즈코,2012.0,foreign_korean
49,nlk:KAC200001398,156,윤동주와 한국문학,大村益夫,2001.0,unknown
50,nlk:KAC199602694,155,문학의 공간,"Blanchot, Maurice",2010.0,foreign_english
51,nlk:KAC199611965,147,정신현상학,"Hegel, Georg Wilhelm Friedrich",2005.0,foreign_english
52,nlk:KAC2018J4862,145,서사담론,"Genette, Gerard",1992.0,foreign_english
53,nlk:KAC199619981,144,제국,"Negri, Antonio",2014.0,foreign_english
54,nlk:KAC200403354,141,포스트휴먼,"Braidotti, Rosi",2015.0,foreign_english
55,nlk:KAC199611475,140,해러웨이 선언문,"Haraway, Donna J.",2019.0,foreign_english
56,nlk:KAC199600493,138,아미엥에서의 주장,"Althusser, Louis",1991.0,foreign_english
57,nlk:KAC199602305,137,물질과 기억,"Bergson, Henri",2005.0,foreign_english
58,nlk:KAC199620679,137,구술문화와 문자문화,"Ong, Walter J.",1995.0,foreign_english
59,nlk:KAC199609447,136,비평의 해부,"Frye, Northrop",2000.0,foreign_english
60,nlk:KAC199601803,127,에로티즘,"Bataille, Georges",1989.0,foreign_english
