,"Adorno, Theodor W.","Agamben, Giorgio","Arendt, Hannah",Aristoteles,"Atwood, Margaret","Austen, Jane","Bakhtin, Mikhail Mikhailovich","Barthes, Roland","Baudrillard, Jean","Beckett, Samuel","Benjamin, Walter","Bhabha, Homi K.","Bloom, Harold","Bourdieu, Pierre","Braidotti, Rosi","Brooks, Cleanth","Brooks, Peter","Brown, H. Douglas","Butler, Judith P.","Caruth, Cathy","Chomsky, Noam","Coetzee, J. M.","Coleridge, Samuel Taylor","Collins, Randall","Conrad, Joseph","De Man, Paul","DeLillo, Don","Defoe, Daniel","Deleuze, Gilles","Derrida, Jacques","Dickens, Charles","Dörnyei, Zoltán","Eagleton, Terry","Eliot, George","Eliot, Thomas Stearns","Ellmann, Richard","Emerson, Ralph Waldo","Fanon, Frantz","Faulkner, William","Fink, Bruce","Foucault, Michel","Freud, Sigmund","Frye, Northrop","Gardner, R. C.","Greenblatt, Stephen","Hall, Stuart","Haraway, Donna J.","Hardy, Thomas","Hawthorne, Nathaniel","Heaney, Seamus Justin","Heidegger, Martin","Hemingway, Ernest","Hutcheon, Linda","James, Henry","Jameson, Fredric","Jeffares, A. Norman","Joyce, James","Jung, Carl Gustav","Kant, Immanuel","Keats, John","Kenner, Hugh","Krashen, Stephen D.","Kristeva, Julia","Lacan, Jacques","Lakoff, George","Lawrence, David Herbert","Leavis, Frank Raymond","Lessing, Doris","Levinas, Emmanuel","Lukács, Georg","Marx, Karl","McCarthy, John J.","Melville, Herman","Milton, John","Moretti, Franco","Morrison, Toni","Nietzsche, Friedrich Wilhelm","Nussbaum, Martha Craven","Poe, Edgar Allan","Pound, Ezra","Quirk, Randolph","Rancière, Jacques","Rich, Adrienne","Richards, Jack C.","Said, Edward W.","Schmitt, Carl","Shakespeare, William","Shaw, George Bernard","Showalter, Elaine","Spivak, Gayatri Chakravorty","Steinbeck, John","Twain, Mark","Vendler, Helen","Whitman, Walt","Williams, Raymond","Williams, William Carlos","Woolf, Virginia","Wordsworth, William","Yeats, William Butler","Žižek, Slavoj"
"Adorno, Theodor W.",402,17,11,3,2,2,21,13,8,92,61,8,16,11,4,1,5,1,35,2,1,19,4,0,1,6,0,2,39,30,8,0,41,0,4,2,8,4,6,0,37,21,0,0,0,1,2,2,0,5,21,0,2,3,74,1,12,3,12,10,4,0,7,11,0,11,9,1,6,99,21,0,2,2,15,9,8,4,4,1,0,12,9,0,17,1,3,0,2,5,1,1,3,5,50,0,43,33,13,44
"Agamben, Giorgio",17,2404,85,24,4,2,4,1,29,12,512,19,5,4,33,5,3,0,195,14,1,58,1,0,0,8,14,7,167,594,9,0,12,0,15,2,2,21,14,3,255,86,3,0,8,11,55,3,5,1,53,0,0,6,30,0,5,0,31,2,3,0,25,93,0,20,2,5,45,6,24,0,61,6,5,22,20,23,19,0,0,200,2,2,18,77,27,2,3,34,4,2,1,1,8,0,59,10,5,383
"Arendt, Hannah",11,85,258,4,16,2,17,3,8,1,55,4,5,6,5,0,1,9,116,3,9,50,0,7,3,1,4,1,37,61,1,1,13,4,9,1,0,9,1,0,46,23,4,4,1,2,9,2,0,0,18,0,1,1,11,1,3,1,49,3,2,1,13,36,2,15,1,0,27,4,14,0,6,0,1,23,13,25,0,18,1,11,1,1,11,12,9,11,2,8,16,0,1,2,8,0,46,9,2,47
Aristoteles,3,24,4,50,1,7,15,5,6,9,9,2,9,0,3,5,1,4,9,3,12,3,8,0,7,4,0,1,22,41,3,0,9,0,42,5,1,2,4,5,30,26,14,0,8,1,5,4,8,9,15,4,6,5,8,3,12,3,8,1,2,1,7,26,15,23,4,1,3,5,10,0,15,9,2,7,20,14,5,11,0,11,0,0,12,1,37,2,2,3,1,0,0,3,6,14,5,18,28,22
"Atwood, Margaret",2,4,16,1,432,5,20,4,2,0,4,0,0,0,40,0,0,0,11,8,0,0,1,0,0,0,0,0,49,16,0,0,1,0,2,0,0,0,6,0,33,17,27,0,0,1,43,0,0,0,3,0,15,3,12,0,0,4,0,0,0,0,63,5,5,11,0,0,4,2,6,0,0,0,1,6,1,6,0,0,0,1,7,0,0,0,1,0,4,0,0,0,0,0,1,0,3,5,0,2
"Austen, Jane",2,2,2,7,5,470,11,8,15,0,5,3,9,0,0,0,3,2,8,0,0,0,3,3,21,0,0,3,10,5,6,0,16,25,4,2,0,2,2,3,7,4,0,0,0,1,0,7,0,0,0,5,9,1,10,0,23,0,3,0,1,1,1,6,4,41,19,1,0,8,4,0,1,9,19,11,0,7,0,0,2,0,2,2,30,0,8,1,5,4,0,1,0,1,13,1,58,7,2,6
"Bakhtin, Mikhail Mikhailovich",21,4,17,15,20,11,734,25,7,19,27,49,41,10,3,6,6,1,17,7,1,33,9,0,6,6,31,16,37,28,128,0,36,31,12,11,52,9,20,2,68,21,34,0,4,3,2,12,15,15,8,7,20,8,58,0,104,2,4,4,3,1,38,19,3,80,30,51,17,23,18,0,12,4,13,53,25,8,3,1,2,10,11,2,24,2,35,1,2,17,4,15,3,10,78,1,47,25,13,13
"Barthes, Roland",13,1,3,5,4,8,25,106,9,11,26,11,22,4,0,8,6,1,12,6,3,27,4,4,6,10,8,3,28,60,53,0,21,11,32,12,2,8,10,3,56,14,0,0,10,4,1,11,7,1,10,11,33,13,27,3,31,9,9,3,5,0,33,21,2,79,36,2,9,5,16,0,3,1,9,9,7,4,5,27,1,31,4,1,14,0,16,2,5,10,5,4,0,1,21,0,38,3,29,13
"Baudrillard, Jean",8,29,8,6,2,15,7,9,142,10,23,7,2,15,6,3,1,0,11,3,5,0,0,1,3,0,31,1,53,42,1,0,9,2,3,0,1,2,1,1,42,24,1,4,1,11,9,0,2,0,8,0,18,19,21,0,0,2,3,1,0,0,8,27,2,4,0,0,3,5,16,0,2,0,3,0,8,1,1,0,0,4,1,2,12,0,6,1,0,1,6,5,0,9,16,1,7,0,3,78
"Beckett, Samuel",92,12,1,9,0,0,19,11,10,758,5,0,13,0,0,2,1,0,13,0,0,4,1,0,0,0,6,0,142,29,0,0,8,0,11,16,0,0,1,3,14,11,12,0,0,0,0,0,0,0,27,5,1,0,11,0,46,0,0,2,79,0,11,12,3,1,1,0,12,10,3,0,4,0,0,0,4,0,4,0,0,2,0,0,1,5,12,0,0,0,0,8,0,0,7,0,2,4,45,10
