,"Adorno, Theodor W.","Agamben, Giorgio","Arendt, Hannah",Aristoteles,"Atwood, Margaret","Austen, Jane","Bakhtin, Mikhail Mikhailovich","Barthes, Roland","Baudrillard, Jean","Beckett, Samuel","Benjamin, Walter","Bhabha, Homi K.","Bloom, Harold","Bourdieu, Pierre","Braidotti, Rosi","Brooks, Cleanth","Brooks, Peter","Brown, H. Douglas","Butler, Judith P.","Caruth, Cathy","Chomsky, Noam","Coetzee, J. M.","Coleridge, Samuel Taylor","Collins, Randall","Conrad, Joseph","De Man, Paul","DeLillo, Don","Defoe, Daniel","Deleuze, Gilles","Derrida, Jacques","Dickens, Charles","Dörnyei, Zoltán","Eagleton, Terry","Eliot, George","Eliot, Thomas Stearns","Ellmann, Richard","Emerson, Ralph Waldo","Fanon, Frantz","Faulkner, William","Fink, Bruce","Foucault, Michel","Freud, Sigmund","Frye, Northrop","Gardner, R. C.","Greenblatt, Stephen","Hall, Stuart","Haraway, Donna J.","Hardy, Thomas","Hawthorne, Nathaniel","Heaney, Seamus Justin","Heidegger, Martin","Hemingway, Ernest","Hutcheon, Linda","James, Henry","Jameson, Fredric","Jeffares, A. Norman","Joyce, James","Jung, Carl Gustav","Kant, Immanuel","Keats, John","Kenner, Hugh","Krashen, Stephen D.","Kristeva, Julia","Lacan, Jacques","Lakoff, George","Lawrence, David Herbert","Leavis, Frank Raymond","Lessing, Doris","Levinas, Emmanuel","Lukács, Georg","Marx, Karl","McCarthy, John J.","Melville, Herman","Milton, John","Moretti, Franco","Morrison, Toni","Nietzsche, Friedrich Wilhelm","Nussbaum, Martha Craven","Poe, Edgar Allan","Pound, Ezra","Quirk, Randolph","Rancière, Jacques","Rich, Adrienne","Richards, Jack C.","Said, Edward W.","Schmitt, Carl","Shakespeare, William","Shaw, George Bernard","Showalter, Elaine","Spivak, Gayatri Chakravorty","Steinbeck, John","Twain, Mark","Vendler, Helen","Whitman, Walt","Williams, Raymond","Williams, William Carlos","Woolf, Virginia","Wordsworth, William","Yeats, William Butler","Žižek, Slavoj"
"Adorno, Theodor W.",0,7,6,1,0,1,6,2,1,11,12,4,7,4,0,0,3,1,1,0,1,1,2,0,0,3,0,0,13,11,1,0,4,0,4,1,4,1,1,0,11,6,0,0,0,1,0,1,0,0,8,0,1,1,12,0,0,1,8,3,1,0,3,4,0,1,2,0,3,6,6,0,1,2,1,0,2,1,3,1,0,6,0,0,6,1,1,0,1,2,1,0,2,0,4,0,3,8,2,15
"Agamben, Giorgio",7,0,12,4,2,0,1,0,5,1,38,7,3,2,7,3,1,0,6,2,1,4,1,0,0,2,1,0,29,35,0,0,5,0,5,0,1,8,4,1,21,21,1,0,2,3,7,1,2,1,11,0,0,1,6,0,1,0,10,0,3,0,5,10,0,1,0,0,6,3,5,0,15,1,1,5,4,2,1,0,0,7,0,1,5,6,6,1,0,5,2,1,1,1,4,0,2,1,2,39
"Arendt, Hannah",6,12,0,1,1,1,2,1,3,0,9,0,2,0,0,0,0,1,2,1,3,1,0,2,1,0,1,1,3,14,1,0,3,1,2,0,0,2,1,0,8,5,1,0,1,2,0,0,0,0,5,0,0,1,6,0,1,1,8,1,1,0,1,5,1,0,0,0,7,3,4,0,1,0,1,0,4,1,0,1,0,2,0,0,2,7,3,0,1,0,3,0,0,0,4,0,2,1,0,16
Aristoteles,1,4,1,0,0,3,4,0,1,2,6,1,2,0,1,2,0,0,3,1,1,1,3,0,2,3,0,0,2,6,2,0,7,0,4,4,0,0,2,1,6,7,4,0,3,0,2,0,0,1,5,2,1,2,2,2,3,1,5,1,2,0,3,8,1,3,0,0,2,1,2,0,2,3,2,0,4,4,3,0,0,3,0,0,3,1,11,1,0,1,1,0,0,0,3,2,2,6,5,6
"Atwood, Margaret",0,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Austen, Jane",1,0,1,3,0,0,2,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,4,1,0,1,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1,1,2,0,3,0,1,0,0,0,1,1,0,1,4,0,0,1,2,0,0,0,1,1,0,2,0,0,1,0,0,0,3,0,0,0,1,1,0,0,0,0,1,0,2,2,1,2
"Bakhtin, Mikhail Mikhailovich",6,1,2,4,1,2,0,6,2,4,6,7,10,1,0,0,0,0,4,1,1,0,2,0,4,3,0,3,6,7,5,0,5,2,2,3,2,5,2,0,11,1,4,0,2,2,0,6,1,3,2,2,5,2,8,0,11,1,1,1,2,0,5,1,0,4,3,0,2,4,5,0,4,0,3,1,4,2,1,0,0,2,1,1,9,0,10,1,1,3,0,1,2,2,7,0,4,7,1,2
"Barthes, Roland",2,0,1,0,0,0,6,0,3,5,6,8,9,0,0,2,1,1,2,1,3,1,1,1,3,4,3,1,2,17,2,0,6,0,6,5,1,2,0,2,18,4,0,0,4,2,0,7,1,1,6,1,8,2,10,2,8,2,1,2,2,0,9,4,1,1,4,0,4,1,6,0,2,1,1,3,3,0,2,1,0,1,0,1,6,0,2,0,0,4,2,0,0,0,4,0,0,2,5,3
"Baudrillard, Jean",1,5,3,1,0,0,2,3,0,3,7,3,2,1,1,2,0,0,3,2,4,0,0,1,1,0,8,0,7,9,0,0,3,1,1,0,0,2,0,0,7,5,0,1,0,4,1,0,0,0,2,0,3,1,8,0,0,0,1,0,0,0,3,6,1,2,0,0,2,3,5,0,0,0,3,0,4,0,0,0,0,1,0,1,5,0,2,0,0,1,1,1,0,1,1,0,1,0,2,17
"Beckett, Samuel",11,1,0,2,0,0,4,5,3,0,1,0,4,0,0,2,1,0,3,0,0,0,1,0,0,0,1,0,8,4,0,0,2,0,5,5,0,0,0,0,3,2,4,0,0,0,0,0,0,0,1,0,1,0,4,0,6,0,0,2,9,0,2,3,0,0,1,0,0,1,1,0,1,0,0,0,2,0,1,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,2,6,1
