,"Adorno, Theodor W.","Agamben, Giorgio","Arendt, Hannah",Aristoteles,"Atwood, Margaret","Austen, Jane","Bakhtin, Mikhail Mikhailovich","Barthes, Roland","Baudrillard, Jean","Beckett, Samuel","Benjamin, Walter","Bhabha, Homi K.","Bloom, Harold","Bourdieu, Pierre","Braidotti, Rosi","Brooks, Cleanth","Brooks, Peter","Brown, H. Douglas","Butler, Judith P.","Caruth, Cathy","Chomsky, Noam","Coetzee, J. M.","Coleridge, Samuel Taylor","Collins, Randall","Conrad, Joseph","De Man, Paul","DeLillo, Don","Defoe, Daniel","Deleuze, Gilles","Derrida, Jacques","Dickens, Charles","Dörnyei, Zoltán","Eagleton, Terry","Eliot, George","Eliot, Thomas Stearns","Ellmann, Richard","Emerson, Ralph Waldo","Fanon, Frantz","Faulkner, William","Fink, Bruce","Foucault, Michel","Freud, Sigmund","Frye, Northrop","Gardner, R. C.","Greenblatt, Stephen","Hall, Stuart","Haraway, Donna J.","Hardy, Thomas","Hawthorne, Nathaniel","Heaney, Seamus Justin","Heidegger, Martin","Hemingway, Ernest","Hutcheon, Linda","James, Henry","Jameson, Fredric","Jeffares, A. Norman","Joyce, James","Jung, Carl Gustav","Kant, Immanuel","Keats, John","Kenner, Hugh","Krashen, Stephen D.","Kristeva, Julia","Lacan, Jacques","Lakoff, George","Lawrence, David Herbert","Leavis, Frank Raymond","Lessing, Doris","Levinas, Emmanuel","Lukács, Georg","Marx, Karl","McCarthy, John J.","Melville, Herman","Milton, John","Moretti, Franco","Morrison, Toni","Nietzsche, Friedrich Wilhelm","Nussbaum, Martha Craven","Poe, Edgar Allan","Pound, Ezra","Quirk, Randolph","Rancière, Jacques","Rich, Adrienne","Richards, Jack C.","Said, Edward W.","Schmitt, Carl","Shakespeare, William","Shaw, George Bernard","Showalter, Elaine","Spivak, Gayatri Chakravorty","Steinbeck, John","Twain, Mark","Vendler, Helen","Whitman, Walt","Williams, Raymond","Williams, William Carlos","Woolf, Virginia","Wordsworth, William","Yeats, William Butler","Žižek, Slavoj"
"Adorno, Theodor W.",0,5,7,1,1,1,5,2,1,8,9,0,4,4,2,1,1,0,6,1,1,3,2,0,1,4,0,1,6,9,1,0,3,0,1,1,0,2,1,0,11,3,0,0,0,0,1,0,0,0,5,0,0,0,12,1,2,2,7,4,2,0,2,3,0,1,0,1,3,6,4,0,0,2,1,2,2,3,0,1,0,5,0,0,5,1,2,0,0,2,0,1,1,0,6,0,4,6,2,10
"Agamben, Giorgio",5,0,17,1,2,1,2,0,2,1,29,9,3,2,18,1,2,0,25,5,1,8,1,0,0,1,3,2,24,43,0,0,7,0,1,0,0,9,3,1,50,21,2,0,3,4,18,2,1,1,14,0,0,0,6,0,2,0,10,1,0,0,8,13,0,2,0,0,17,2,2,0,14,2,5,9,3,9,0,0,0,10,1,1,7,7,11,2,2,12,0,1,1,0,5,0,8,1,1,34
"Arendt, Hannah",7,17,0,2,3,1,4,2,2,0,11,0,1,4,5,0,1,1,14,1,1,4,0,1,0,1,1,1,9,20,0,0,6,0,2,0,0,8,0,0,18,7,1,0,1,0,5,0,0,0,6,0,1,0,3,1,0,0,9,2,0,0,4,5,0,1,0,0,10,2,4,0,2,0,1,3,6,9,0,1,0,4,1,0,3,4,6,2,1,1,0,0,1,1,5,0,7,2,1,13
Aristoteles,1,1,2,0,1,1,4,3,1,1,4,1,4,0,2,2,0,0,4,1,1,1,3,0,1,3,0,0,6,9,0,0,5,0,5,2,0,2,0,1,7,6,6,0,4,0,2,1,1,1,4,1,1,1,1,1,1,3,5,1,1,0,3,5,1,4,2,0,3,1,3,0,2,2,1,1,6,8,3,0,0,1,0,0,2,0,16,1,1,1,0,0,0,2,2,2,2,5,3,6
"Atwood, Margaret",1,2,3,1,0,1,5,1,0,0,1,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,2,0,10,1,8,0,0,1,6,0,0,0,1,0,3,0,2,0,0,1,0,0,0,0,5,2,1,3,0,0,3,1,2,0,0,0,1,2,1,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
"Austen, Jane",1,1,1,1,1,0,3,4,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,4,1,1,0,4,1,2,0,0,1,2,1,2,2,0,0,0,1,0,1,0,0,0,0,7,1,2,0,7,0,1,0,1,0,1,1,0,3,3,1,0,2,1,0,1,2,4,2,0,3,0,0,0,0,1,2,6,0,2,0,2,2,0,1,0,1,4,1,9,3,1,2
"Bakhtin, Mikhail Mikhailovich",5,2,4,4,5,3,0,5,0,2,8,6,6,4,1,1,1,1,7,3,1,1,2,0,2,2,1,1,5,9,5,0,2,3,6,5,3,3,2,0,17,7,4,0,3,1,1,3,3,3,5,2,5,2,8,0,11,2,2,2,2,1,10,2,2,5,2,0,2,5,2,0,3,1,7,2,5,5,2,0,1,4,1,2,10,1,11,1,1,4,0,3,2,0,4,1,5,1,4,2
"Barthes, Roland",2,0,2,3,1,4,5,0,2,3,6,4,7,2,0,4,2,1,6,2,1,4,1,1,1,4,4,1,4,7,1,0,6,2,8,4,0,2,2,1,19,7,0,0,3,0,1,5,1,0,3,1,11,3,12,2,8,2,3,1,1,0,8,4,1,2,2,0,3,3,4,0,2,1,1,2,1,3,3,1,0,3,1,1,7,0,5,1,3,4,2,1,0,1,4,0,3,0,6,3
"Baudrillard, Jean",1,2,2,1,0,3,0,2,0,2,3,2,1,2,5,1,0,0,5,1,2,0,0,0,0,0,4,0,8,7,0,0,2,0,1,0,0,1,1,0,15,4,0,0,0,0,5,0,0,0,5,0,4,0,5,0,0,1,1,0,0,0,3,7,1,2,0,0,2,0,2,0,1,0,1,0,3,1,0,0,0,1,1,1,4,0,3,0,0,0,1,1,0,1,0,1,2,0,2,12
"Beckett, Samuel",8,1,0,1,0,0,2,3,2,0,0,0,4,0,0,2,0,0,2,0,0,1,1,0,0,0,1,0,4,5,0,0,1,0,3,4,0,0,1,0,6,2,5,0,0,0,0,0,0,0,6,0,1,0,2,0,5,0,0,2,11,0,3,3,0,0,1,0,2,1,1,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,2,2,2
