,"Adorno, Theodor W.","Agamben, Giorgio","Arendt, Hannah",Aristoteles,"Atwood, Margaret","Austen, Jane","Bakhtin, Mikhail Mikhailovich","Barthes, Roland","Baudrillard, Jean","Beckett, Samuel","Benjamin, Walter","Bhabha, Homi K.","Bloom, Harold","Bourdieu, Pierre","Braidotti, Rosi","Brooks, Cleanth","Brooks, Peter","Brown, H. Douglas","Butler, Judith P.","Caruth, Cathy","Chomsky, Noam","Coetzee, J. M.","Coleridge, Samuel Taylor","Collins, Randall","Conrad, Joseph","De Man, Paul","DeLillo, Don","Defoe, Daniel","Deleuze, Gilles","Derrida, Jacques","Dickens, Charles","Dörnyei, Zoltán","Eagleton, Terry","Eliot, George","Eliot, Thomas Stearns","Ellmann, Richard","Emerson, Ralph Waldo","Fanon, Frantz","Faulkner, William","Fink, Bruce","Foucault, Michel","Freud, Sigmund","Frye, Northrop","Gardner, R. C.","Greenblatt, Stephen","Hall, Stuart","Haraway, Donna J.","Hardy, Thomas","Hawthorne, Nathaniel","Heaney, Seamus Justin","Heidegger, Martin","Hemingway, Ernest","Hutcheon, Linda","James, Henry","Jameson, Fredric","Jeffares, A. Norman","Joyce, James","Jung, Carl Gustav","Kant, Immanuel","Keats, John","Kenner, Hugh","Krashen, Stephen D.","Kristeva, Julia","Lacan, Jacques","Lakoff, George","Lawrence, David Herbert","Leavis, Frank Raymond","Lessing, Doris","Levinas, Emmanuel","Lukács, Georg","Marx, Karl","McCarthy, John J.","Melville, Herman","Milton, John","Moretti, Franco","Morrison, Toni","Nietzsche, Friedrich Wilhelm","Nussbaum, Martha Craven","Poe, Edgar Allan","Pound, Ezra","Quirk, Randolph","Rancière, Jacques","Rich, Adrienne","Richards, Jack C.","Said, Edward W.","Schmitt, Carl","Shakespeare, William","Shaw, George Bernard","Showalter, Elaine","Spivak, Gayatri Chakravorty","Steinbeck, John","Twain, Mark","Vendler, Helen","Whitman, Walt","Williams, Raymond","Williams, William Carlos","Woolf, Virginia","Wordsworth, William","Yeats, William Butler","Žižek, Slavoj"
"Adorno, Theodor W.",0,7,2,1,0,1,3,3,2,10,13,6,7,3,0,0,2,1,6,1,0,0,1,0,0,1,0,0,11,9,2,0,11,0,3,1,4,1,2,0,10,9,0,0,0,1,0,2,0,2,7,0,2,3,10,0,3,0,3,0,1,0,4,3,0,3,2,0,1,6,6,0,1,0,1,2,2,1,3,0,0,2,2,0,3,0,1,0,2,3,1,0,1,2,4,0,4,4,1,8
"Agamben, Giorgio",7,0,11,7,0,1,0,1,5,2,37,5,2,1,0,2,1,0,7,3,0,2,0,0,0,1,1,2,28,23,4,0,2,0,4,1,1,1,3,1,10,21,0,0,3,1,2,0,1,0,7,0,0,2,9,0,2,0,6,0,3,0,7,14,0,5,2,2,1,2,6,0,16,0,0,2,3,3,4,0,0,6,1,0,2,10,6,0,0,4,2,1,0,1,2,0,3,1,1,33
"Arendt, Hannah",2,11,0,1,1,1,2,1,3,1,9,2,4,0,0,0,0,3,3,2,2,3,0,3,2,0,1,0,3,10,1,1,1,1,1,1,0,0,1,0,3,4,2,2,0,2,1,2,0,0,3,0,0,1,5,0,3,1,5,1,1,1,5,5,2,3,1,0,2,2,6,0,1,0,0,5,1,0,0,1,1,3,0,1,4,4,0,0,1,3,3,0,0,0,2,0,3,2,0,11
Aristoteles,1,7,1,0,0,2,6,1,3,2,5,1,1,0,0,2,1,3,4,1,1,1,3,0,3,1,0,1,4,5,3,0,4,0,9,2,1,0,2,1,7,7,6,0,3,1,0,0,2,0,4,1,5,4,4,2,2,0,2,0,1,1,3,6,2,2,2,1,0,3,3,0,3,2,1,1,7,1,1,1,0,2,0,0,5,1,9,1,1,2,1,0,0,0,4,2,1,2,4,4
"Atwood, Margaret",0,0,1,0,0,1,2,0,1,0,1,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,4,3,3,0,0,0,4,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,4,1,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1
"Austen, Jane",1,1,1,2,1,0,3,1,0,0,3,3,6,0,0,0,0,1,4,0,0,0,2,3,2,0,0,1,1,1,2,0,5,3,0,1,0,1,0,0,3,2,0,0,0,0,0,3,0,0,0,1,1,0,2,0,4,0,2,0,0,1,0,3,1,2,6,0,0,3,3,0,0,1,5,2,0,2,0,0,2,0,1,0,7,0,3,1,2,2,0,0,0,0,4,0,7,1,0,2
"Bakhtin, Mikhail Mikhailovich",3,0,2,6,2,3,0,10,5,2,6,13,15,3,2,2,5,0,7,0,0,1,2,0,3,3,1,5,9,12,12,0,15,0,2,1,9,4,4,2,20,5,8,0,1,2,1,3,2,2,1,0,9,3,15,0,9,0,2,1,1,0,15,8,0,9,8,6,2,8,6,0,5,3,5,8,8,0,1,1,1,2,3,0,8,0,11,0,1,7,1,0,1,4,17,0,13,8,2,6
"Barthes, Roland",3,1,1,1,0,1,10,0,3,3,9,5,9,2,0,1,4,0,5,4,2,4,2,1,3,3,0,2,6,28,2,0,7,1,8,5,1,5,2,2,17,4,0,0,4,4,0,2,2,1,5,1,10,3,7,0,8,1,3,2,3,0,15,8,1,4,6,1,3,2,3,0,1,0,3,2,4,0,1,3,1,0,2,0,6,0,3,0,2,4,1,1,0,0,5,0,7,3,2,5
"Baudrillard, Jean",2,5,3,3,1,0,5,3,0,1,10,4,1,1,0,2,1,0,5,1,3,0,0,1,1,0,9,1,12,17,1,0,2,1,2,0,1,1,0,1,4,9,1,1,1,7,1,0,1,0,2,0,6,2,11,0,0,0,0,1,0,0,4,8,1,1,0,0,1,4,5,0,1,0,2,0,4,0,1,0,0,2,0,0,6,0,2,1,0,1,0,1,0,1,2,0,2,0,0,13
"Beckett, Samuel",10,2,1,2,0,0,2,3,1,0,2,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,16,3,0,0,2,0,3,4,0,0,0,2,1,3,2,0,0,0,0,0,0,0,1,1,0,0,5,0,7,0,0,0,9,0,2,1,1,1,0,0,0,3,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,3,0,1,0,7,2
