,"Abbott, H. Porter","Adorno, Theodor W.","Agamben, Giorgio","Althusser, Louis","Anderson, Benedict R. O'G.","Bachelard, Gaston","Badiou, Alain","Bal, Mieke","Balibar, Étienne","Barthes, Roland","Bataille, Georges","Baudelaire, Charles Pierre","Baudrillard, Jean","Bauman, Zygmunt","Beauvoir, Simone de","Beck, Ulrich","Benjamin, Walter","Bergson, Henri","Bhabha, Homi K.","Blanchot, Maurice","Booth, Wayne C.","Bourdieu, Pierre","Braidotti, Rosi","Brooks, Peter","Butler, Judith","Chatman, Seymour Benjamin","Culler, Jonathan D.","Deleuze, Gilles","Derrida, Jacques","Eagleton, Terry","Eco, Umberto","Eliade, Mircea","Eliot, Thomas Stearns","Fanon, Frantz","Foucault, Michel","Freud, Sigmund","Frye, Northrop","Genette, Gerard","Giddens, Anthony","Girard, René","Goldmann, Lucien","Gramsci, Antonio","Greimas, Algirdas Julien","Hall, Stuart","Haraway, Donna J.","Hegel, Georg Wilhelm Friedrich","Heidegger, Martin","Hobsbawm, Eric John","Hutcheon, Linda","Jameson, Fredric","Kant, Immanuel","Kierkegaard, Søren","Kristeva, Julia","Kropotkin, Petr Alekseevich","Lacan, Jacques","Lakoff, George","Latour, Bruno","Lefèbvre, Henri","Levinas, Emmanuel","Lukács, Georg","Lyotard, Jean-Francois","Marcuse, Herbert","Marx, Karl","McLuhan, Herbert Marshall","Merleau-Ponty, Maurice","Moretti, Franco","Nancy, Jean-Luc","Negri, Antonio","Nietzsche, Friedrich","Nussbaum, Martha Craven","Ong, Walter J.","Prince, Gerald","Rancière, Jacques","Ricoeur, Paul","Rimmon-Kenan, Shlomith","Said, Edward","Sartre, Jean Paul","Simmel, Georg","Sontag, Susan","Spinoza, Baruch De","Spivak, Gayatri Chakravorty","Stanzel, Franz Karl","Taylor, Charles","Virilio, Paul","Wellek, René","Žižek, Slavoj",大村益夫,白川豊,가라타니 고진,고모리 요이치,루쉰,사에구사 도시카쓰,사카이 나오키,아리스토텔레스,아즈마 히로키,와다 하루키,요시미 순야,우에노 치즈코,플라톤,한나 아렌트
"Abbott, H. Porter",0,0,4,0,0,2,1,5,2,5,0,0,1,5,0,3,3,1,1,1,4,0,1,8,6,17,4,8,3,2,2,1,0,0,7,4,1,13,0,1,2,0,0,2,3,0,0,0,4,3,0,0,1,0,7,0,0,1,0,4,0,0,1,1,0,5,1,0,2,3,1,3,7,5,5,0,3,0,3,0,0,3,0,0,0,8,0,0,6,0,0,0,2,3,2,0,0,4,0,0
"Adorno, Theodor W.",0,54,14,2,3,3,5,1,0,5,0,1,10,1,0,0,49,2,2,5,0,2,0,6,10,1,1,14,20,8,16,1,0,1,32,20,1,0,1,11,1,1,0,2,0,9,9,0,1,8,11,0,8,0,8,0,0,9,11,12,4,10,3,2,2,2,2,5,6,1,3,0,21,11,1,0,1,1,6,2,3,0,4,0,3,37,0,0,9,0,2,0,0,7,1,0,0,1,6,6
"Agamben, Giorgio",4,14,958,6,17,4,99,0,18,19,11,6,17,53,1,9,280,11,10,9,2,17,17,9,88,4,2,98,177,18,3,9,1,17,261,74,5,1,7,16,6,3,0,2,7,11,20,3,1,25,10,0,37,0,35,2,8,17,36,16,7,3,35,1,7,7,17,49,14,26,4,1,249,8,0,2,6,22,23,4,26,2,8,4,0,211,2,1,31,1,1,2,9,8,13,0,1,9,3,63
"Althusser, Louis",0,2,6,74,4,0,16,0,23,9,2,1,2,2,0,0,12,4,6,2,0,6,1,0,24,0,1,45,19,17,0,0,0,3,21,35,0,0,0,6,2,7,1,8,2,2,7,0,0,13,4,0,5,0,21,0,0,0,1,1,4,2,32,0,0,0,5,6,0,2,0,0,9,3,1,6,2,0,0,0,8,0,1,0,0,54,0,0,3,0,0,0,2,6,0,0,0,1,6,2
"Anderson, Benedict R. O'G.",0,3,17,4,4,2,4,0,3,2,1,1,0,3,1,0,17,3,27,1,0,13,0,1,7,2,2,9,8,2,1,1,0,13,20,10,0,1,3,2,2,0,0,7,1,2,3,28,1,17,4,0,1,1,1,0,1,5,7,1,1,1,6,5,0,8,0,8,4,3,3,1,17,2,0,3,1,3,1,0,3,0,4,0,1,13,1,1,30,6,1,1,4,0,1,1,0,6,1,1
"Bachelard, Gaston",2,3,4,0,2,672,5,0,0,6,15,5,4,4,0,2,16,5,3,8,0,4,3,0,6,5,0,25,6,3,6,89,5,3,33,107,24,5,2,15,6,0,0,0,0,1,25,0,3,4,13,0,13,0,16,13,0,21,9,6,2,8,0,0,27,1,0,0,30,4,6,0,7,11,1,0,6,15,3,2,2,0,0,0,8,13,1,0,2,0,0,0,0,13,0,0,0,0,6,3
"Badiou, Alain",1,5,99,16,4,5,300,1,5,11,9,2,7,11,2,12,70,4,6,19,2,11,6,11,65,4,1,144,19,8,0,4,0,4,49,80,3,3,12,4,4,6,0,2,0,12,18,1,3,10,12,0,10,0,89,3,12,3,27,4,1,1,50,0,8,6,12,11,8,17,1,2,144,7,0,0,7,8,4,6,15,2,2,0,0,148,0,0,28,1,0,0,2,1,4,0,0,7,9,13
"Bal, Mieke",5,1,0,0,0,0,1,2,0,4,0,0,0,0,0,0,0,2,0,0,11,2,0,3,2,24,0,5,1,0,3,1,0,0,3,4,0,19,1,0,0,0,1,0,0,0,1,0,3,0,0,0,1,0,7,8,0,0,0,1,1,0,0,0,2,0,1,0,2,0,1,9,4,11,10,0,0,0,0,0,0,10,1,0,2,2,0,0,1,1,0,0,0,2,0,1,1,0,0,0
"Balibar, Étienne",2,0,18,23,3,0,5,0,56,5,0,0,0,1,0,0,13,0,2,3,0,15,2,1,5,0,0,40,24,3,0,0,0,1,44,8,0,0,0,0,1,1,0,0,3,0,0,6,0,8,13,1,0,0,1,0,2,0,1,2,0,0,18,0,4,2,9,9,1,2,0,0,12,0,0,5,1,2,1,3,1,0,2,0,0,19,1,0,6,0,0,0,8,2,0,0,0,2,2,4
"Barthes, Roland",5,5,19,9,2,6,11,4,5,136,2,10,14,5,0,0,52,3,2,14,12,8,1,10,15,18,2,73,34,7,12,6,7,4,50,31,2,15,4,2,2,0,11,7,0,3,16,1,9,5,7,2,25,0,17,5,1,7,12,13,6,0,11,9,12,1,2,2,10,6,2,4,65,11,10,1,19,4,25,2,2,1,0,2,2,39,0,0,20,3,0,0,2,5,4,0,0,4,5,3
