,"Abbott, H. Porter","Adorno, Theodor W.","Agamben, Giorgio","Althusser, Louis","Anderson, Benedict R. O'G.","Bachelard, Gaston","Badiou, Alain","Bal, Mieke","Balibar, Étienne","Barthes, Roland","Bataille, Georges","Baudelaire, Charles Pierre","Baudrillard, Jean","Bauman, Zygmunt","Beauvoir, Simone de","Beck, Ulrich","Benjamin, Walter","Bergson, Henri","Bhabha, Homi K.","Blanchot, Maurice","Booth, Wayne C.","Bourdieu, Pierre","Braidotti, Rosi","Brooks, Peter","Butler, Judith","Chatman, Seymour Benjamin","Culler, Jonathan D.","Deleuze, Gilles","Derrida, Jacques","Eagleton, Terry","Eco, Umberto","Eliade, Mircea","Eliot, Thomas Stearns","Fanon, Frantz","Foucault, Michel","Freud, Sigmund","Frye, Northrop","Genette, Gerard","Giddens, Anthony","Girard, René","Goldmann, Lucien","Gramsci, Antonio","Greimas, Algirdas Julien","Hall, Stuart","Haraway, Donna J.","Hegel, Georg Wilhelm Friedrich","Heidegger, Martin","Hobsbawm, Eric John","Hutcheon, Linda","Jameson, Fredric","Kant, Immanuel","Kierkegaard, Søren","Kristeva, Julia","Kropotkin, Petr Alekseevich","Lacan, Jacques","Lakoff, George","Latour, Bruno","Lefèbvre, Henri","Levinas, Emmanuel","Lukács, Georg","Lyotard, Jean-Francois","Marcuse, Herbert","Marx, Karl","McLuhan, Herbert Marshall","Merleau-Ponty, Maurice","Moretti, Franco","Nancy, Jean-Luc","Negri, Antonio","Nietzsche, Friedrich","Nussbaum, Martha Craven","Ong, Walter J.","Prince, Gerald","Rancière, Jacques","Ricoeur, Paul","Rimmon-Kenan, Shlomith","Said, Edward","Sartre, Jean Paul","Simmel, Georg","Sontag, Susan","Spinoza, Baruch De","Spivak, Gayatri Chakravorty","Stanzel, Franz Karl","Taylor, Charles","Virilio, Paul","Wellek, René","Žižek, Slavoj",大村益夫,白川豊,가라타니 고진,고모리 요이치,루쉰,사에구사 도시카쓰,사카이 나오키,아리스토텔레스,아즈마 히로키,와다 하루키,요시미 순야,우에노 치즈코,플라톤,한나 아렌트
"Abbott, H. Porter",0,0,1,0,0,0,0,2,0,2,0,0,0,1,0,1,1,1,1,1,1,0,0,4,2,8,0,1,2,1,1,0,0,0,3,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,1,0,0,1,1,0,2,0,0,0,3,0,0,3,1,2,0,1,0,2,0,0,1,0,0,0,2,0,0,3,0,0,0,1,1,0,0,0,3,0,0
"Adorno, Theodor W.",0,0,4,1,1,2,2,0,0,3,0,0,3,0,0,0,9,2,2,1,0,1,0,4,5,0,0,5,3,2,7,0,0,1,6,6,0,0,1,4,0,0,0,1,0,5,3,0,0,2,4,0,2,0,3,0,0,2,5,1,1,0,1,2,0,0,1,1,4,1,1,0,4,5,0,0,0,0,4,2,2,0,1,0,1,5,0,0,2,0,0,0,0,4,0,0,0,1,4,4
"Agamben, Giorgio",1,4,0,3,8,1,23,0,4,4,4,0,4,24,1,4,33,4,8,5,2,6,6,6,33,2,0,19,18,7,2,1,1,4,65,25,1,0,4,8,2,0,0,2,4,3,5,1,1,7,3,0,9,0,11,0,2,8,8,6,3,0,6,0,2,1,5,6,5,13,1,0,28,5,0,1,3,5,11,1,12,0,5,1,0,39,0,0,9,0,1,0,3,3,3,0,0,7,1,24
"Althusser, Louis",0,1,3,0,2,0,1,0,2,1,1,0,0,1,0,0,3,1,2,1,0,0,1,0,6,0,0,3,0,0,0,0,0,1,5,3,0,0,0,2,1,0,1,0,1,0,2,0,0,0,0,0,2,0,5,0,0,0,0,0,0,1,0,0,0,0,2,2,0,1,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,9,0,0,2,0,0,0,1,0,0,0,0,1,0,1
"Anderson, Benedict R. O'G.",0,1,8,2,0,2,1,0,0,0,1,0,0,2,0,0,4,2,8,0,0,2,0,0,3,1,0,2,4,0,1,0,0,3,7,4,0,1,1,1,0,0,0,2,0,1,0,8,0,2,2,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,2,1,3,0,1,1,0,2,0,1,1,0,1,0,1,0,0,2,0,0,10,1,1,0,2,0,1,0,0,5,1,1
"Bachelard, Gaston",0,2,1,0,2,0,4,0,0,4,7,0,4,2,0,2,5,0,1,4,0,1,2,0,3,2,0,14,1,2,4,23,1,0,14,26,12,1,2,2,1,0,0,0,0,0,9,0,2,1,6,0,8,0,7,4,0,13,4,3,1,2,0,0,8,0,0,0,3,2,2,0,2,6,0,0,3,7,2,0,1,0,0,0,3,8,0,0,0,0,0,0,0,4,0,0,0,0,5,3
"Badiou, Alain",0,2,23,1,1,4,0,1,1,6,3,1,3,6,1,3,19,3,5,7,1,4,4,3,21,3,1,17,8,5,0,0,0,2,21,13,2,1,7,1,2,0,0,1,0,3,2,1,1,2,1,0,6,0,11,1,0,2,14,1,0,0,4,0,0,2,3,4,1,8,1,2,29,2,0,0,2,4,3,2,4,0,1,0,0,28,0,0,4,1,0,0,1,0,3,0,0,4,1,9
"Bal, Mieke",2,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,2,0,0,7,1,0,2,1,9,0,1,0,0,2,1,0,0,2,1,0,8,1,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,3,1,3,3,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0
"Balibar, Étienne",0,0,4,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,2,0,2,0,0,3,3,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,2,1,2,0,0,3,0,0,0,1,0,1,0,0,0,1,0,0,6,0,0,2,0,0,0,2,0,0,0,0,2,0,3
"Barthes, Roland",2,3,4,1,0,4,6,3,1,0,0,2,5,1,0,0,10,2,0,4,1,3,0,3,5,3,0,14,8,3,2,1,0,0,14,13,0,6,1,0,1,0,1,2,0,1,6,0,4,0,0,0,9,0,5,0,0,2,6,4,2,0,1,4,0,0,0,1,3,2,1,2,6,2,2,0,7,2,6,1,1,1,0,1,0,10,0,0,0,2,0,0,0,1,1,0,0,1,1,2
"Bataille, Georges",0,0,4,1,1,7,3,0,0,0,0,0,3,2,0,0,4,1,0,1,0,0,0,2,2,0,0,5,0,2,0,3,0,0,13,9,1,0,5,3,0,0,0,0,0,2,4,0,0,0,1,0,6,0,1,0,0,1,3,0,0,5,2,0,5,0,0,0,3,1,1,0,1,3,0,0,0,3,0,1,1,0,0,0,0,6,0,0,1,0,0,0,0,3,0,0,0,2,0,1
"Baudelaire, Charles Pierre",0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baudrillard, Jean",0,3,4,0,0,4,3,0,0,5,3,0,0,4,0,0,13,1,1,1,0,6,0,0,3,0,0,5,0,0,4,0,0,0,10,7,0,0,4,2,0,1,1,1,1,1,0,0,2,1,0,0,2,0,3,0,0,5,0,2,1,0,3,2,1,0,0,1,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,1,0,0,1,2,1
"Bauman, Zygmunt",1,0,24,1,2,2,6,0,1,1,2,0,4,0,0,11,11,0,1,6,0,2,3,1,6,1,0,9,8,4,1,1,0,0,25,10,3,1,3,6,3,1,0,3,0,0,1,0,0,4,0,0,2,0,2,0,0,6,3,5,1,2,3,0,1,5,4,2,1,10,2,0,10,3,0,0,1,4,3,0,4,0,3,0,0,12,1,0,4,0,0,0,0,1,1,0,0,1,0,5
"Beauvoir, Simone de",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,6,1,0,2,1,0,1,0,0,1,2,4,0,0,2,1,1,1,0,0,1,0,3,0,1,0,0,0,5,0,2,0,0,0,2,1,0,0,0,0,1,1,0,0,1,2,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Beck, Ulrich",1,0,4,0,0,2,3,0,0,0,0,0,0,11,1,0,1,0,1,2,0,2,1,2,0,0,0,1,0,0,0,0,0,0,6,1,1,0,8,0,0,2,0,1,0,0,0,0,0,0,2,0,2,0,0,1,2,1,3,0,0,0,1,0,0,0,2,0,0,1,0,0,4,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,3
"Benjamin, Walter",1,9,33,3,4,5,19,0,1,10,4,1,13,11,1,1,0,2,9,6,1,12,1,4,15,6,1,21,15,7,5,1,2,2,27,21,1,1,2,7,0,0,0,0,3,9,1,5,1,7,2,0,13,0,7,1,0,5,6,5,2,2,6,6,3,1,3,3,5,3,6,1,18,5,0,0,1,8,13,0,9,0,2,1,2,28,0,0,8,1,1,1,4,5,2,0,0,6,2,12
"Bergson, Henri",1,2,4,1,2,0,3,2,0,2,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,3,0,9,0,1,2,0,0,0,4,7,1,1,0,1,0,0,0,1,0,0,6,0,0,0,0,1,3,0,2,2,0,0,0,0,0,0,0,0,3,1,0,0,2,2,0,0,1,2,0,0,2,0,1,2,0,1,0,0,0,2,0,0,3,0,0,0,0,3,1,1,0,0,0,0
"Bhabha, Homi K.",1,2,8,2,8,1,5,0,0,0,0,0,1,1,0,1,9,0,0,1,0,1,1,0,9,1,1,4,5,3,1,0,0,9,11,8,0,0,2,4,0,1,0,4,0,1,1,2,1,2,2,0,2,0,1,0,0,1,2,2,1,0,0,1,0,0,0,1,1,2,0,0,4,0,0,6,0,0,3,1,16,0,0,0,0,6,0,1,8,3,0,0,6,0,0,0,0,0,0,1
"Blanchot, Maurice",1,1,5,1,0,4,7,0,2,4,1,1,1,6,0,2,6,0,1,0,1,3,1,2,5,0,0,6,5,2,0,2,0,0,4,5,2,0,2,0,2,0,0,0,1,0,6,1,0,0,0,0,0,0,3,0,0,1,4,1,2,0,0,0,2,2,14,2,1,1,1,0,11,2,0,0,1,2,4,0,0,0,1,0,0,7,0,0,1,0,0,0,2,1,1,0,0,0,0,2
"Booth, Wayne C.",1,0,2,0,0,0,1,7,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,13,0,1,0,3,2,0,0,0,0,1,1,7,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,5,0,4,4,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Bourdieu, Pierre",0,1,6,0,2,1,4,1,0,3,0,0,6,2,2,2,12,0,1,3,1,0,0,4,7,2,0,6,2,1,2,0,1,0,8,4,0,2,2,1,0,1,1,3,0,3,1,2,2,1,0,0,4,0,1,0,0,2,1,3,1,0,1,2,0,0,1,1,1,2,0,0,5,2,0,0,0,5,2,0,2,0,1,0,0,7,0,0,0,1,1,1,1,2,1,0,0,0,1,4
"Braidotti, Rosi",0,0,6,1,0,2,4,0,2,0,0,0,0,3,1,1,1,0,1,1,0,0,0,0,10,0,0,11,3,1,1,1,0,1,11,2,1,0,1,1,2,0,0,0,21,0,0,0,0,1,0,0,2,0,1,1,6,0,0,2,0,0,0,1,1,1,1,0,1,9,0,1,0,1,1,0,0,0,0,2,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brooks, Peter",4,4,6,0,0,0,3,2,0,3,2,0,0,1,0,2,4,0,0,2,1,4,0,0,5,4,0,11,5,0,1,1,0,1,12,16,1,2,6,5,0,0,0,1,1,2,3,0,0,2,0,0,3,1,4,2,0,0,4,0,1,0,0,1,1,1,0,1,1,8,0,1,4,3,0,0,2,1,3,0,2,0,2,0,0,15,0,0,5,1,0,0,1,8,0,0,0,6,1,2
"Butler, Judith",2,5,33,6,3,3,21,1,2,5,2,0,3,6,6,0,15,1,9,5,1,7,10,5,0,3,0,14,23,2,1,1,0,3,33,34,0,1,9,5,1,0,0,1,6,4,5,1,5,3,3,0,21,0,14,3,1,3,9,4,3,0,2,2,1,1,4,4,7,25,2,0,18,4,0,1,1,3,7,2,17,0,3,1,0,32,0,0,4,1,0,0,5,3,2,0,1,14,1,12
"Chatman, Seymour Benjamin",8,0,2,0,1,2,3,9,0,3,0,1,0,1,1,0,6,3,1,0,13,2,0,4,3,0,0,4,4,4,8,1,0,1,5,9,5,13,1,3,0,0,0,1,0,0,0,0,3,0,0,0,2,0,2,0,0,2,0,5,0,0,0,1,0,0,0,0,0,0,1,4,5,6,11,0,0,2,5,0,1,5,1,0,0,5,0,0,3,0,0,0,0,5,0,0,0,0,0,0
"Culler, Jonathan D.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Deleuze, Gilles",1,5,19,3,2,14,17,1,3,14,5,1,5,9,2,1,21,9,4,6,1,6,11,11,14,4,0,0,18,4,7,1,0,2,30,22,1,3,6,3,0,2,0,4,4,6,9,0,5,3,8,0,16,1,12,8,1,8,10,10,1,1,6,5,12,1,5,6,18,9,4,1,10,7,1,0,4,5,6,15,5,0,1,2,0,30,0,0,5,1,0,0,3,1,1,0,2,2,5,5
"Derrida, Jacques",2,3,18,0,4,1,8,0,3,8,0,2,0,8,1,0,15,0,5,5,0,2,3,5,23,4,0,18,0,4,1,1,0,4,18,26,0,1,1,4,1,0,0,2,5,3,11,1,0,2,3,0,4,0,10,2,4,3,15,3,2,0,0,3,0,1,2,2,2,5,1,1,8,5,1,0,6,4,1,1,8,0,0,0,1,17,0,0,8,0,0,0,2,2,2,0,1,1,0,8
"Eagleton, Terry",1,2,7,0,0,2,5,0,0,3,2,0,0,4,0,0,7,1,3,2,3,1,1,0,2,4,0,4,4,0,1,1,3,2,11,6,3,1,3,2,1,0,0,1,0,0,1,0,0,4,2,0,3,0,4,1,0,0,3,3,1,1,2,0,1,1,1,1,3,3,1,1,3,2,1,0,1,0,1,2,0,1,1,0,0,12,0,0,4,3,0,0,0,1,0,0,0,1,0,2
