,"Abbott, H. Porter","Adorno, Theodor W.","Agamben, Giorgio","Althusser, Louis","Anderson, Benedict R. O'G.","Bachelard, Gaston","Badiou, Alain","Bal, Mieke","Balibar, Étienne","Barthes, Roland","Bataille, Georges","Baudelaire, Charles Pierre","Baudrillard, Jean","Bauman, Zygmunt","Beauvoir, Simone de","Beck, Ulrich","Benjamin, Walter","Bergson, Henri","Bhabha, Homi K.","Blanchot, Maurice","Booth, Wayne C.","Bourdieu, Pierre","Braidotti, Rosi","Brooks, Peter","Butler, Judith","Chatman, Seymour Benjamin","Culler, Jonathan D.","Deleuze, Gilles","Derrida, Jacques","Eagleton, Terry","Eco, Umberto","Eliade, Mircea","Eliot, Thomas Stearns","Fanon, Frantz","Foucault, Michel","Freud, Sigmund","Frye, Northrop","Genette, Gerard","Giddens, Anthony","Girard, René","Goldmann, Lucien","Gramsci, Antonio","Greimas, Algirdas Julien","Hall, Stuart","Haraway, Donna J.","Hegel, Georg Wilhelm Friedrich","Heidegger, Martin","Hobsbawm, Eric John","Hutcheon, Linda","Jameson, Fredric","Kant, Immanuel","Kierkegaard, Søren","Kristeva, Julia","Kropotkin, Petr Alekseevich","Lacan, Jacques","Lakoff, George","Latour, Bruno","Lefèbvre, Henri","Levinas, Emmanuel","Lukács, Georg","Lyotard, Jean-Francois","Marcuse, Herbert","Marx, Karl","McLuhan, Herbert Marshall","Merleau-Ponty, Maurice","Moretti, Franco","Nancy, Jean-Luc","Negri, Antonio","Nietzsche, Friedrich","Nussbaum, Martha Craven","Ong, Walter J.","Prince, Gerald","Rancière, Jacques","Ricoeur, Paul","Rimmon-Kenan, Shlomith","Said, Edward","Sartre, Jean Paul","Simmel, Georg","Sontag, Susan","Spinoza, Baruch De","Spivak, Gayatri Chakravorty","Stanzel, Franz Karl","Taylor, Charles","Virilio, Paul","Wellek, René","Žižek, Slavoj",大村益夫,白川豊,가라타니 고진,고모리 요이치,루쉰,사에구사 도시카쓰,사카이 나오키,아리스토텔레스,아즈마 히로키,와다 하루키,요시미 순야,우에노 치즈코,플라톤,한나 아렌트
"Abbott, H. Porter",0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,2,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Adorno, Theodor W.",0,0,4,0,0,2,1,0,0,5,0,0,4,0,0,0,12,1,1,1,0,1,0,3,4,0,0,4,5,5,0,1,0,1,6,6,1,0,0,1,1,0,0,1,0,5,5,0,0,2,4,0,2,0,3,0,0,1,2,5,2,2,2,1,0,1,2,2,2,0,1,0,3,5,0,0,1,1,1,1,3,0,1,0,1,7,0,0,4,0,0,0,0,3,0,0,0,1,1,1
"Agamben, Giorgio",0,4,0,1,7,1,18,0,1,6,3,1,1,11,0,3,30,3,5,4,1,6,0,3,12,1,0,22,22,5,2,2,1,3,35,16,0,0,1,3,1,1,0,1,0,1,7,1,0,4,4,0,10,0,7,0,1,4,4,4,2,2,11,0,1,0,8,11,3,3,1,0,18,4,0,1,1,4,5,2,5,0,2,1,0,29,1,1,7,0,1,0,2,3,5,0,0,3,2,9
"Althusser, Louis",0,0,1,0,0,0,2,0,2,1,1,1,2,1,0,0,2,2,4,0,0,1,0,0,1,0,0,3,3,4,0,0,0,3,5,4,0,0,0,1,2,2,1,1,1,2,6,0,0,2,1,0,3,0,6,0,0,0,0,1,1,1,4,0,0,0,0,1,0,0,0,0,2,3,0,2,1,0,0,0,1,0,1,0,0,10,0,0,3,0,0,0,0,0,0,0,0,1,0,0
"Anderson, Benedict R. O'G.",0,0,7,0,0,2,1,0,2,0,0,1,0,2,1,0,10,2,13,0,0,8,0,1,0,1,2,3,0,1,0,0,0,7,9,5,0,0,2,1,0,0,0,2,1,2,2,18,1,9,1,0,1,1,0,0,0,3,3,1,1,0,4,0,0,4,0,5,3,1,2,1,3,0,0,2,1,0,1,0,1,0,1,0,1,6,1,1,12,5,1,0,2,0,0,0,0,2,1,1
"Bachelard, Gaston",0,2,1,0,2,0,3,0,0,5,6,2,3,1,0,2,9,2,0,6,0,3,0,0,0,2,0,7,2,3,4,22,3,2,6,20,9,2,0,4,2,0,0,0,0,1,9,0,1,4,3,0,6,0,7,3,0,10,5,4,0,5,0,0,9,0,0,0,1,0,3,0,0,4,1,0,1,5,2,0,0,0,0,0,5,7,1,0,2,0,0,0,0,4,0,0,0,0,3,0
"Badiou, Alain",0,1,18,2,1,3,0,1,2,6,3,0,2,4,2,2,22,2,3,7,1,3,1,2,10,2,1,20,7,3,0,0,0,3,15,12,1,2,4,0,2,1,0,2,0,2,4,0,1,1,4,0,3,0,12,1,0,1,10,2,0,1,3,0,2,1,4,5,2,1,0,1,14,3,0,0,1,1,1,2,2,0,1,0,0,21,0,0,7,1,0,0,1,1,1,0,0,0,1,5
"Bal, Mieke",2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,7,0,0,1,1,15,0,0,0,0,2,0,0,0,1,3,0,11,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,3,4,0,0,0,0,0,0,6,1,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"Balibar, Étienne",0,0,1,2,2,0,2,0,0,0,0,0,0,0,0,0,3,0,1,2,0,2,0,0,1,0,0,5,3,1,0,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,1,0,0,0,0,1,0,0,0,0,0,2,0,1,1,1,5,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,3,0,0,0,0,0,0,0
"Barthes, Roland",1,5,6,1,0,5,6,2,0,0,2,3,9,1,0,0,22,2,0,4,2,2,1,4,1,6,1,15,11,4,7,2,1,2,19,12,1,4,2,0,2,0,3,4,0,1,6,0,6,4,1,0,11,0,6,2,1,2,4,6,2,0,3,5,4,0,2,1,5,1,2,2,3,5,2,1,6,2,10,0,2,1,0,1,1,13,0,0,5,2,0,0,1,1,3,0,0,0,1,1
